uid;civilite;nom;prenom;fonction;telephone;mail;etage;uoAffectation;codeImmeubleEmplacementCollaborateur;region;codeRegion;niveauTerritoire;codeTerritoire;niveauEntite;codeEntite;niveauAgence;codeAgence;localisationCollaborateur;pj;aMigrer
c67014;Mme;nom_061;Prenom_061;ASSISTANT CLIENT BANQUE PRIVEE;01 56 28 53 64;nom_061.Prenom_061@bnpparibas.com;3;;100223;REGION PARIS;;CENTRE BANQUE PRIVEE PARIS XVI EME;;;;;;8 RUE CIMAROSA 75016 PARIS 16;cs;OUI
135818;Mme;nom_062;Prenom_062;ASSISTANT CLIENT BANQUE PRIVEE;01 56 28 53 47;nom_062.Prenom_062@bnpparibas.com;-;;100223;REGION PARIS;8054000;;;;;;08054Z91;8 RUE CIMAROSA PARIS 16 FRANCE;cs;
b75331;Mme;nom_063;Prenom_063;CONSEIL EN BANQUE PRIVEE PARTICULIER;01 56 28 53 65;nom_063.Prenom_063@bnpparibas.com;2;13239753;100223;REGION PARIS;8054000;CENTRE BANQUE PRIVEE PARIS XVI EME;8587000;CBP EQUIPE PARIS XVI EME 4;08587T40;ACTION COMMERCIALE CBP EQUIPE PARIS XVI EME 4;08587Z95;8 RUE CIMAROSA 75016 PARIS 16;cs;OUI
d32746;Mme;nom_064;Prenom_064;CONSEIL EN BANQUE PRIVEE PARTICULIER;01 56 28 53 24;nom_064.Prenom_064@bnpparibas.com;1;;100223;REGION PARIS;;CENTRE BANQUE PRIVEE PARIS XVI EME;;;;;;8 RUE CIMAROSA 75016 PARIS 16;cs;OUI
a60080;M.;nom_065;Prenom_065;CONSEIL EN BANQUE PRIVEE ENTREPRENEUR;01 56 28 53 34;nom_065.Prenom_065@bnpparibas.com;3;13239792;100223;REGION PARIS;8054000;CENTRE BANQUE PRIVEE PARIS XVI EME;8587000;CBP EQUIPE PARIS XVI EME 3;08587T30;ACTION COMMERCIALE CBP EQUIPE PARIS XVI EME 3;08587Z39;8 RUE CIMAROSA 75016 PARIS 16;cs;OUI
497241;M.;nom_066;Prenom_066;CONSEIL EN BANQUE PRIVEE ENTREPRENEUR;01 56 28 53 42;nom_066.Prenom_066@bnpparibas.com;2;13239753;100223;REGION PARIS;8054000;CENTRE BANQUE PRIVEE PARIS XVI EME;8587000;CBP EQUIPE PARIS XVI EME 4;08587T40;ACTION COMMERCIALE CBP EQUIPE PARIS XVI EME 4;08587Z95;8 RUE CIMAROSA 75016 PARIS 16;cs;OUI
123784;Mme;nom_067;Prenom_067;CONSEIL EN BANQUE PRIVEE ENTREPRENEUR;01 56 28 53 49;nom_067.Prenom_067@bnpparibas.com;1;13239633;100223;REGION PARIS;8054000;CENTRE BANQUE PRIVEE PARIS XVI EME;8587000;CBP EQUIPE PARIS XVI EME 1;08587T10;ACTION COMMERCIALE CBP EQUIPE PARIS XVI EME 1;08587Z19;8 RUE CIMAROSA 75016 PARIS 16;cs;OUI
915265;M.;nom_068;Prenom_068;CONSEIL EN BANQUE PRIVEE ENTREPRENEUR;01 56 28 53 52;nom_068.Prenom_068@bnpparibas.com;3;13239653;100223;REGION PARIS;8054000;CENTRE BANQUE PRIVEE PARIS XVI EME;8587000;CBP EQUIPE PARIS XVI EME 2;08587T20;ACTION COMMERCIALE CBP EQUIPE PARIS XVI EME 2;08587Z29;8 RUE CIMAROSA 75016 PARIS 16;cs;OUI
463398;M.;nom_069;Prenom_069;CONSEIL EN BANQUE PRIVEE GRANDES RELATIONS;01 56 28 53 30;nom_069.Prenom_069@bnpparibas.com;3;13239653;100223;REGION PARIS;8054000;CENTRE BANQUE PRIVEE PARIS XVI EME;8587000;CBP EQUIPE PARIS XVI EME 2;08587T20;ACTION COMMERCIALE CBP EQUIPE PARIS XVI EME 2;08587Z29;8 RUE CIMAROSA 75016 PARIS 16;cs;OUI
346436;Mme;nom_070;Prenom_070;CONSEIL EN BANQUE PRIVEE GRANDES RELATIONS;01 56 28 53 35;nom_070.Prenom_070@bnpparibas.com;2;13239753;100223;REGION PARIS;8054000;CENTRE BANQUE PRIVEE PARIS XVI EME;8587000;CBP EQUIPE PARIS XVI EME 4;08587T40;ACTION COMMERCIALE CBP EQUIPE PARIS XVI EME 4;08587Z95;8 RUE CIMAROSA 75016 PARIS 16;cs;OUI
b52673;M.;nom_071;Prenom_071;CONSEIL EN BANQUE PRIVEE GRANDES RELATIONS;01 56 28 53 59;nom_071.Prenom_071@bnpparibas.com;2;13239792;100223;REGION PARIS;8054000;CENTRE BANQUE PRIVEE PARIS XVI EME;8587000;CBP EQUIPE PARIS XVI EME 3;08587T30;ACTION COMMERCIALE CBP EQUIPE PARIS XVI EME 3;08587Z39;8 RUE CIMAROSA 75016 PARIS 16;cs;OUI
326151;Mme;nom_072;Prenom_072;CONSEIL EN BANQUE PRIVEE GRANDES RELATIONS;01 56 28 53 88;nom_072.Prenom_072@bnpparibas.com;1;13239633;100223;REGION PARIS;8054000;CENTRE BANQUE PRIVEE PARIS XVI EME;8587000;CBP EQUIPE PARIS XVI EME 1;08587T10;ACTION COMMERCIALE CBP EQUIPE PARIS XVI EME 1;08587Z19;8 RUE CIMAROSA 75016 PARIS 16;cs;OUI
365611;M.;nom_073;Prenom_073;CONSEIL EN BANQUE PRIVEE GRANDES RELATIONS;01 56 28 53 39;nom_073.Prenom_073@bnpparibas.com;3;;100223;REGION PARIS;;CENTRE BANQUE PRIVEE PARIS XVI EME;;;;;;8 RUE CIMAROSA 75016 PARIS 16;cs;OUI
b67653;Mme;nom_074;Prenom_074;CONSEIL EN BANQUE PRIVEE PARTICULIER;01 56 28 53 77 ;nom_074.Prenom_074@bnpparibas.com;3;13239653;100223;REGION PARIS;8054000;CENTRE BANQUE PRIVEE PARIS XVI EME;8587000;CBP EQUIPE PARIS XVI EME 2;08587T20;ACTION COMMERCIALE CBP EQUIPE PARIS XVI EME 2;08587Z29;8 RUE CIMAROSA 75016 PARIS 16;cs;OUI
931585;Mme;nom_075;Prenom_075;CONSEIL EN BANQUE PRIVEE PARTICULIER;01 56 28 53 41;nom_075.Prenom_075@bnpparibas.com;3;13239653;100223;REGION PARIS;8054000;CENTRE BANQUE PRIVEE PARIS XVI EME;8587000;CBP EQUIPE PARIS XVI EME 2;08587T20;ACTION COMMERCIALE CBP EQUIPE PARIS XVI EME 2;08587Z29;8 RUE CIMAROSA 75016 PARIS 16;cs;OUI
a33609;Mme;nom_076;Prenom_076;CONSEIL EN BANQUE PRIVEE PARTICULIER;01 56 28 53 37;nom_076.Prenom_076@bnpparibas.com;1;13239792;100223;REGION PARIS;8054000;CENTRE BANQUE PRIVEE PARIS XVI EME;8587000;CBP EQUIPE PARIS XVI EME 3;08587T30;ACTION COMMERCIALE CBP EQUIPE PARIS XVI EME 3;08587Z39;8 RUE CIMAROSA 75016 PARIS 16;cs;OUI
956749;Mme;nom_077;Prenom_077;CONSEIL EN BANQUE PRIVEE PARTICULIER;01 56 28 53 43;nom_077.Prenom_077@bnpparibas.com;1;13239633;100223;REGION PARIS;8054000;CENTRE BANQUE PRIVEE PARIS XVI EME;8587000;CBP EQUIPE PARIS XVI EME 1;08587T10;ACTION COMMERCIALE CBP EQUIPE PARIS XVI EME 1;08587Z19;8 RUE CIMAROSA 75016 PARIS 16;cs;OUI
c30361;M.;nom_078;Prenom_078;CONSEIL EN BANQUE PRIVEE PARTICULIER;01 56 28 53 47;nom_078.Prenom_078@bnpparibas.com;1;13239633;100223;REGION PARIS;8054000;CENTRE BANQUE PRIVEE PARIS XVI EME;8587000;CBP EQUIPE PARIS XVI EME 1;08587T10;ACTION COMMERCIALE CBP EQUIPE PARIS XVI EME 1;08587Z19;8 RUE CIMAROSA 75016 PARIS 16;cs;OUI
975486;M.;nom_079;Prenom_079;CONSEIL EN BANQUE PRIVEE PARTICULIER;01 56 28 53 44;nom_079.Prenom_079@bnpparibas.com;2;13239753;100223;REGION PARIS;8054000;CENTRE BANQUE PRIVEE PARIS XVI EME;8587000;CBP EQUIPE PARIS XVI EME 4;08587T40;ACTION COMMERCIALE CBP EQUIPE PARIS XVI EME 4;08587Z95;8 RUE CIMAROSA 75016 PARIS 16;cs;OUI
b03354;M.;nom_080;Prenom_080;CONSEIL EN BANQUE PRIVEE PARTICULIER;01 56 28 53 51;nom_080.Prenom_080@bnpparibas.com;3;13239653;100223;REGION PARIS;8054000;CENTRE BANQUE PRIVEE PARIS XVI EME;8587000;CBP EQUIPE PARIS XVI EME 2;08587T20;ACTION COMMERCIALE CBP EQUIPE PARIS XVI EME 2;08587Z29;8 RUE CIMAROSA 75016 PARIS 16;cs;OUI
b75330;Mme;nom_081;Prenom_081;CONSEIL EN BANQUE PRIVEE PARTICULIER;01 56 28 53 36;nom_081.Prenom_081@bnpparibas.com;2;13239753;100223;REGION PARIS;8054000;CENTRE BANQUE PRIVEE PARIS XVI EME;8587000;CBP EQUIPE PARIS XVI EME 4;08587T40;ACTION COMMERCIALE CBP EQUIPE PARIS XVI EME 4;08587Z95;8 RUE CIMAROSA 75016 PARIS 16;cs;OUI
b83376;M.;nom_082;Prenom_082;CONSEIL EN BANQUE PRIVEE PARTICULIER;01 56 28 53 25;nom_082.Prenom_082@bnpparibas.com;2;13239753;100223;REGION PARIS;8054000;CENTRE BANQUE PRIVEE PARIS XVI EME;8587000;CBP EQUIPE PARIS XVI EME 4;08587T40;ACTION COMMERCIALE CBP EQUIPE PARIS XVI EME 4;08587Z95;8 RUE CIMAROSA 75016 PARIS 16;cs;OUI
360668;Mme;nom_083;Prenom_083;CONSEIL EN BANQUE PRIVEE PARTICULIER;01 56 28 53 84;nom_083.Prenom_083@bnpparibas.com;1;13239792;100223;REGION PARIS;8054000;CENTRE BANQUE PRIVEE PARIS XVI EME;8587000;CBP EQUIPE PARIS XVI EME 3;08587T30;ACTION COMMERCIALE CBP EQUIPE PARIS XVI EME 3;08587Z39;8 RUE CIMAROSA 75016 PARIS 16;cs;OUI
841345;M.;nom_084;Prenom_084;RESPONSABLE D'EQUIPE CENTRE BANQUE PRIVEE;01 56 28 53 33;nom_084.Prenom_084@bnpparibas.com;1;13239633;100223;REGION PARIS;8054000;CENTRE BANQUE PRIVEE PARIS XVI EME;8587000;CBP EQUIPE PARIS XVI EME 1;08587T10;ACTION COMMERCIALE CBP EQUIPE PARIS XVI EME 1;08587Z19;8 RUE CIMAROSA 75016 PARIS 16;cs;OUI
561248;M.;nom_085;Prenom_085;RESPONSABLE D'EQUIPE CENTRE BANQUE PRIVEE;01 56 28 53 32;nom_085.Prenom_085@bnpparibas.com;2;13239753;100223;REGION PARIS;8054000;CENTRE BANQUE PRIVEE PARIS XVI EME;8587000;CBP EQUIPE PARIS XVI EME 4;08587T40;ACTION COMMERCIALE CBP EQUIPE PARIS XVI EME 4;08587Z95;8 RUE CIMAROSA 75016 PARIS 16;cs;OUI
413370;Mme;nom_086;Prenom_086;RESPONSABLE D'EQUIPE CENTRE BANQUE PRIVEE;01 56 28 53 40;nom_086.Prenom_086@bnpparibas.com;3;13239653;100223;REGION PARIS;8054000;CENTRE BANQUE PRIVEE PARIS XVI EME;8587000;CBP EQUIPE PARIS XVI EME 2;08587T20;ACTION COMMERCIALE CBP EQUIPE PARIS XVI EME 2;08587Z29;8 RUE CIMAROSA 75016 PARIS 16;cs;OUI
135729;Mme;nom_087;Prenom_087;ASSISTANT CLIENT BANQUE PRIVEE;05 55 18 83 31;nom_087.Prenom_087@bnpparibas.com;0;13256135;100171;REGION OCCITANIE;8058000;CENTRE BANQUE PRIVEE TOULOUSE NORD OCCITANIE;8398000;CBP EQUIPE TOULOUSE NORD OCCITANIE 3;08398T30;APPUI COMMERCIAL CBP EQUIPE TOULOUSE NORD OCCITANIE 3;08398Z38;23 BOULEVARD DU GENERAL KOENIG 19106 BRIVE LA GAILLARDE CEDEX;cs;OUI
121632;Mme;nom_088;Prenom_088;ASSISTANT CLIENT BANQUE PRIVEE;05 63 72 83 26;nom_088.Prenom_088@bnpparibas.com;2;13237814;100175;REGION OCCITANIE;8058000;CENTRE BANQUE PRIVEE TOULOUSE NORD OCCITANIE;8398000;CBP EQUIPE TOULOUSE NORD OCCITANIE 1;08398T10;APPUI COMMERCIAL CBP EQUIPE TOULOUSE NORD OCCITANIE 1;08398Z18;4 PLACE JEAN JAURES 81101 CASTRES CEDEX;cs;OUI
130862;Mme;nom_089;Prenom_089;ASSISTANT CLIENT BANQUE PRIVEE;05 63 80 83 06;nom_089.Prenom_089@bnpparibas.com;1;13237814;100859;REGION OCCITANIE;8058000;CENTRE BANQUE PRIVEE TOULOUSE NORD OCCITANIE;8398000;CBP EQUIPE TOULOUSE NORD OCCITANIE 1;08398T10;APPUI COMMERCIAL CBP EQUIPE TOULOUSE NORD OCCITANIE 1;08398Z18;3 LICES JEAN MOULIN 81001 ALBI CEDEX;cs;OUI
233484;Mme;nom_090;Prenom_090;ASSISTANT CLIENT BANQUE PRIVEE;05 63 22 73 30;nom_090.Prenom_090@bnpparibas.com;0;13237854;106477;REGION OCCITANIE;8058000;CENTRE BANQUE PRIVEE TOULOUSE NORD OCCITANIE;8398000;CBP EQUIPE TOULOUSE NORD D'OCCITANIE 2;08398T20;APPUI COMMERCIAL CBP EQUIPE TOULOUSE NORD D'OCCITANIE 2;08398Z28;16 ALLEE DE MORTARIEU 82000 MONTAUBAN;cs;OUI
137034;Mme;nom_091;Prenom_091;ASSISTANT CLIENT BANQUE PRIVEE;05 65 73 32 27;nom_091.Prenom_091@bnpparibas.com;2;13237854;121394;REGION OCCITANIE;8058000;CENTRE BANQUE PRIVEE TOULOUSE NORD OCCITANIE;8398000;CBP EQUIPE TOULOUSE NORD D'OCCITANIE 2;08398T20;APPUI COMMERCIAL CBP EQUIPE TOULOUSE NORD D'OCCITANIE 2;08398Z28;LE VINCI II BAT C 2 AVENUE Jean MONNET 12000 RODEZ;cs;OUI
931648;M.;nom_092;Prenom_092;CONSEIL EN BANQUE PRIVEE ACTIONNAIRES DIRIGEANTS;05 34 27 32 01;nom_092.Prenom_092@bnpparibas.com;0;13237813;107150;REGION OCCITANIE;8058000;CENTRE BANQUE PRIVEE TOULOUSE NORD OCCITANIE;8398000;CBP EQUIPE TOULOUSE NORD OCCITANIE 1;08398T10;ACTION COMMERCIALE CBP EQUIPE TOULOUSE NORD OCCITANIE 1;08398Z19;Les Ambassadeurs II - Batiment C1 1 ALLEE DES NYMPHEAS 31240 L UNION;cs;OUI
204607;Mme;nom_093;Prenom_093;CONSEIL EN BANQUE PRIVEE ENTREPRENEUR;04 71 43 42 32;nom_093.Prenom_093@bnpparibas.com;0;13237853;100815;REGION OCCITANIE;8058000;CENTRE BANQUE PRIVEE TOULOUSE NORD OCCITANIE;8398000;CBP EQUIPE TOULOUSE NORD D'OCCITANIE 2;08398T20;ACTION COMMERCIALE CBP EQUIPE TOULOUSE NORD D'OCCITANIE 2;08398Z29;3 PLACE DU SQUARE 15001 AURILLAC CEDEX;cs;OUI
112626;M.;nom_094;Prenom_094;CONSEIL EN BANQUE PRIVEE ENTREPRENEUR;05 65 73 32 23;nom_094.Prenom_094@bnpparibas.com;2;13237853;121394;REGION OCCITANIE;8058000;CENTRE BANQUE PRIVEE TOULOUSE NORD OCCITANIE;8398000;CBP EQUIPE TOULOUSE NORD D'OCCITANIE 2;08398T20;ACTION COMMERCIALE CBP EQUIPE TOULOUSE NORD D'OCCITANIE 2;08398Z29;LE VINCI II BAT C 2 AVENUE Jean MONNET 12000 RODEZ;cs;OUI
307720;Mme;nom_095;Prenom_095;CONSEIL EN BANQUE PRIVEE PARTICULIER;05 55 18 83 30;nom_095.Prenom_095@bnpparibas.com;1;13256134;100171;REGION OCCITANIE;8058000;CENTRE BANQUE PRIVEE TOULOUSE NORD OCCITANIE;8398000;CBP EQUIPE TOULOUSE NORD OCCITANIE 3;08398T30;ACTION COMMERCIALE CBP EQUIPE TOULOUSE NORD OCCITANIE 3;08398Z39;23 BOULEVARD DU GENERAL KOENIG 19106 BRIVE LA GAILLARDE CEDEX;cs;OUI
116202;Mme;nom_096;Prenom_096;CONSEIL EN BANQUE PRIVEE PARTICULIER;05 55 18 83 28;nom_096.Prenom_096@bnpparibas.com;1;13256134;100171;REGION OCCITANIE;8058000;CENTRE BANQUE PRIVEE TOULOUSE NORD OCCITANIE;8398000;CBP EQUIPE TOULOUSE NORD OCCITANIE 3;08398T30;ACTION COMMERCIALE CBP EQUIPE TOULOUSE NORD OCCITANIE 3;08398Z39;23 BOULEVARD DU GENERAL KOENIG 19106 BRIVE LA GAILLARDE CEDEX;cs;OUI
346112;Mme;nom_097;Prenom_097;CONSEIL EN BANQUE PRIVEE PARTICULIER;05 63 72 83 11;nom_097.Prenom_097@bnpparibas.com;2;13237813;100175;REGION OCCITANIE;8058000;CENTRE BANQUE PRIVEE TOULOUSE NORD OCCITANIE;8398000;CBP EQUIPE TOULOUSE NORD OCCITANIE 1;08398T10;ACTION COMMERCIALE CBP EQUIPE TOULOUSE NORD OCCITANIE 1;08398Z19;4 PLACE JEAN JAURES 81101 CASTRES CEDEX;cs;OUI
697107;Mme;nom_098;Prenom_098;CONSEIL EN BANQUE PRIVEE PARTICULIER;05 65 61 95 74;nom_098.Prenom_098@bnpparibas.com;0;13237853;100814;REGION OCCITANIE;8058000;CENTRE BANQUE PRIVEE TOULOUSE NORD OCCITANIE;8398000;CBP EQUIPE TOULOUSE NORD D'OCCITANIE 2;08398T20;ACTION COMMERCIALE CBP EQUIPE TOULOUSE NORD D'OCCITANIE 2;08398Z29;2 AVENUE ALFRED MERLE 12100 MILLAU;cs;OUI
227344;Mme;nom_099;Prenom_099;CONSEIL EN BANQUE PRIVEE PARTICULIER;05 63 80 83 02;nom_099.Prenom_099@bnpparibas.com;1;13237813;100859;REGION OCCITANIE;8058000;CENTRE BANQUE PRIVEE TOULOUSE NORD OCCITANIE;8398000;CBP EQUIPE TOULOUSE NORD OCCITANIE 1;08398T10;ACTION COMMERCIALE CBP EQUIPE TOULOUSE NORD OCCITANIE 1;08398Z19;3 LICES JEAN MOULIN 81001 ALBI CEDEX;cs;OUI
b28060;Mme;nom_100;Prenom_100;CONSEIL EN BANQUE PRIVEE PARTICULIER;05 63 80 83 03;nom_100.Prenom_100@bnpparibas.com;1;13237813;100859;REGION OCCITANIE;8058000;CENTRE BANQUE PRIVEE TOULOUSE NORD OCCITANIE;8398000;CBP EQUIPE TOULOUSE NORD OCCITANIE 1;08398T10;ACTION COMMERCIALE CBP EQUIPE TOULOUSE NORD OCCITANIE 1;08398Z19;3 LICES JEAN MOULIN 81001 ALBI CEDEX;cs;OUI
345023;Mme;nom_101;Prenom_101;CONSEIL EN BANQUE PRIVEE PARTICULIER;05 63 22 73 31;nom_101.Prenom_101@bnpparibas.com;0;13237853;106477;REGION OCCITANIE;8058000;CENTRE BANQUE PRIVEE TOULOUSE NORD OCCITANIE;8398000;CBP EQUIPE TOULOUSE NORD D'OCCITANIE 2;08398T20;ACTION COMMERCIALE CBP EQUIPE TOULOUSE NORD D'OCCITANIE 2;08398Z29;16 ALLEE DE MORTARIEU 82000 MONTAUBAN;cs;OUI
198100;Mme;nom_102;Prenom_102;CONSEIL EN BANQUE PRIVEE PARTICULIER;05 63 22 73 32;nom_102.Prenom_102@bnpparibas.com;0;13237853;106477;REGION OCCITANIE;8058000;CENTRE BANQUE PRIVEE TOULOUSE NORD OCCITANIE;8398000;CBP EQUIPE TOULOUSE NORD D'OCCITANIE 2;08398T20;ACTION COMMERCIALE CBP EQUIPE TOULOUSE NORD D'OCCITANIE 2;08398Z29;16 ALLEE DE MORTARIEU 82000 MONTAUBAN;cs;OUI
133170;Mme;nom_103;Prenom_103;CONSEIL EN BANQUE PRIVEE PARTICULIER;05 34 27 32 02;nom_103.Prenom_103@bnpparibas.com;0;13237813;107150;REGION OCCITANIE;8058000;CENTRE BANQUE PRIVEE TOULOUSE NORD OCCITANIE;8398000;CBP EQUIPE TOULOUSE NORD OCCITANIE 1;08398T10;ACTION COMMERCIALE CBP EQUIPE TOULOUSE NORD OCCITANIE 1;08398Z19;Les Ambassadeurs II - Batiment C1 1 ALLEE DES NYMPHEAS 31240 L UNION;cs;OUI
254338;M.;nom_104;Prenom_104;CONSEIL EN BANQUE PRIVEE PARTICULIER;05 65 73 32 24;nom_104.Prenom_104@bnpparibas.com;0;13237853;121394;REGION OCCITANIE;8058000;CENTRE BANQUE PRIVEE TOULOUSE NORD OCCITANIE;8398000;CBP EQUIPE TOULOUSE NORD D'OCCITANIE 2;08398T20;ACTION COMMERCIALE CBP EQUIPE TOULOUSE NORD D'OCCITANIE 2;08398Z29;LE VINCI II BAT C 2 AVENUE Jean MONNET 12000 RODEZ;cs;OUI
152860;M.;nom_105;Prenom_105;RESPONSABLE CENTRE BANQUE PRIVEE;05 61 11 14 61;nom_105.Prenom_105@bnpparibas.com;1;13237792;106496;REGION OCCITANIE;8058000;CENTRE BANQUE PRIVEE TOULOUSE NORD OCCITANIE;8398000;PILOTAGE CENTRE BANQUE PRIVEE TOULOUSE NORD OCCITANIE;08398Z96;PILOTAGE CENTRE BANQUE PRIVEE TOULOUSE NORD OCCITANIE;08398Z96;8 CHEMIN DE LA TERRASSE 31400 TOULOUSE;cs;OUI
127592;M.;nom_106;Prenom_106;RESPONSABLE D'EQUIPE CENTRE BANQUE PRIVEE;05 63 80 83 01;nom_106.Prenom_106@bnpparibas.com;1;13237813;100859;REGION OCCITANIE;8058000;CENTRE BANQUE PRIVEE TOULOUSE NORD OCCITANIE;8398000;CBP EQUIPE TOULOUSE NORD OCCITANIE 1;08398T10;ACTION COMMERCIALE CBP EQUIPE TOULOUSE NORD OCCITANIE 1;08398Z19;3 LICES JEAN MOULIN 81001 ALBI CEDEX;cs;OUI
294416;M.;nom_107;Prenom_107;RESPONSABLE D'EQUIPE CENTRE BANQUE PRIVEE;05 65 73 32 32;nom_107.Prenom_107@bnpparibas.com;2;13237853;121394;REGION OCCITANIE;8058000;CENTRE BANQUE PRIVEE TOULOUSE NORD OCCITANIE;8398000;CBP EQUIPE TOULOUSE NORD D'OCCITANIE 2;08398T20;ACTION COMMERCIALE CBP EQUIPE TOULOUSE NORD D'OCCITANIE 2;08398Z29;LE VINCI II BAT C 2 AVENUE Jean MONNET 12000 RODEZ;cs;OUI
133738;M.;nom_108;Prenom_108;BNPP Factor - CHARGE D'AFFAIRES AFFACTURAGE;05 61 11 56 78;nom_108.Prenom_108@bnpparibas.com;0;;106496;REGION OCCITANIE;8058000;CENTRE D'AFFAIRES SUD-OUEST ENTREPRISES;2497000;;;;;8 CHEMIN DE LA TERRASSE 31400 TOULOUSE;cs;OUI
427262;M.;nom_109;Prenom_109;CHARGE AFFAIRES ENTREPRENEURS CAF OU OUTREMER;05 63 72 83 40;nom_109.Prenom_109@bnpparibas.com;0;13307668;100859;REGION OCCITANIE;8058000;CENTRE D'AFFAIRES SUD-OUEST ENTREPRISES;2497000;ENTITE CAF SUD-OUEST ENTREPRISES;2,50E+03;AGENCE ENTREPRENEURS SUD-OUEST ENTREPRISES;3415000;3 LICES JEAN MOULIN 81001 ALBI CEDEX;cs;OUI
243143;M.;nom_110;Prenom_110;CHARGE AFFAIRES ENTREPRENEURS CAF OU OUTREMER;05 61 11 14 75;nom_110.Prenom_110@bnpparibas.com;0;13307668;106496;REGION OCCITANIE;8058000;CENTRE D'AFFAIRES SUD-OUEST ENTREPRISES;2497000;ENTITE CAF SUD-OUEST ENTREPRISES;2,50E+03;AGENCE ENTREPRENEURS SUD-OUEST ENTREPRISES;3415000;8 CHEMIN DE LA TERRASSE 31400 TOULOUSE;cs;OUI
373707;Mme;nom_111;Prenom_111;CHARGE AFFAIRES ENTREPRENEURS CAF OU OUTREMER;05 61 11 13 61;nom_111.Prenom_111@bnpparibas.com;0;13307668;106496;REGION OCCITANIE;8058000;CENTRE D'AFFAIRES SUD-OUEST ENTREPRISES;2497000;ENTITE CAF SUD-OUEST ENTREPRISES;2,50E+03;AGENCE ENTREPRENEURS SUD-OUEST ENTREPRISES;3415000;8 CHEMIN DE LA TERRASSE 31400 TOULOUSE;cs;OUI
116260;Mme;nom_112;Prenom_112;CHARGE AFFAIRES ENTREPRENEURS CAF OU OUTREMER;05 61 11 14 72;nom_112.Prenom_112@bnpparibas.com;0;13307668;106496;REGION OCCITANIE;8058000;CENTRE D'AFFAIRES SUD-OUEST ENTREPRISES;2497000;ENTITE CAF SUD-OUEST ENTREPRISES;2,50E+03;AGENCE ENTREPRENEURS SUD-OUEST ENTREPRISES;3415000;8 CHEMIN DE LA TERRASSE 31400 TOULOUSE;cs;OUI
b41576;M.;nom_113;Prenom_113;CHARGE AFFAIRES ENTREPRENEURS CAF OU OUTREMER;05 61 11 13 11;nom_113.Prenom_113@bnpparibas.com;0;13307668;106496;REGION OCCITANIE;8058000;CENTRE D'AFFAIRES SUD-OUEST ENTREPRISES;2497000;ENTITE CAF SUD-OUEST ENTREPRISES;2,50E+03;AGENCE ENTREPRENEURS SUD-OUEST ENTREPRISES;3415000;8 CHEMIN DE LA TERRASSE 31400 TOULOUSE;cs;OUI
356585;Mme;nom_114;Prenom_114;CHARGE D'AFFAIRES CASH MANAGEMENT (CACM);05 61 11 13 79;nom_114.Prenom_114@bnpparibas.com;2;13128055;106496;REGION OCCITANIE;8058000;CENTRE D'AFFAIRES SUD-OUEST ENTREPRISES;2497000;CENTRE D'AFFAIRES SUD-OUEST ENTREPRISES;2497000;CENTRE D'AFFAIRES SUD-OUEST ENTREPRISES;2497000;8 CHEMIN DE LA TERRASSE 31400 TOULOUSE;cs;OUI
136172;M.;nom_115;Prenom_115;CHARGE D'AFFAIRES CASH MANAGEMENT (CACM);05 61 11 13 20;nom_115.Prenom_115@bnpparibas.com;0;13128055;106496;REGION OCCITANIE;8058000;CENTRE D'AFFAIRES SUD-OUEST ENTREPRISES;2497000;CENTRE D'AFFAIRES SUD-OUEST ENTREPRISES;2497000;CENTRE D'AFFAIRES SUD-OUEST ENTREPRISES;2497000;8 CHEMIN DE LA TERRASSE 31400 TOULOUSE;cs;OUI
204013;M.;nom_116;Prenom_116;CHARGE D'AFFAIRES CASH MANAGEMENT (CACM);05 61 11 13 49;nom_116.Prenom_116@bnpparibas.com;0;13128055;106496;REGION OCCITANIE;8058000;CENTRE D'AFFAIRES SUD-OUEST ENTREPRISES;2497000;CENTRE D'AFFAIRES SUD-OUEST ENTREPRISES;2497000;CENTRE D'AFFAIRES SUD-OUEST ENTREPRISES;2497000;8 CHEMIN DE LA TERRASSE 31400 TOULOUSE;cs;OUI
b22463;M.;nom_117;Prenom_117;CHARGE D'AFFAIRES CASH MANAGEMENT (CACM);05 61 11 13 10;nom_117.Prenom_117@bnpparibas.com;0;13128055;106496;REGION OCCITANIE;8058000;CENTRE D'AFFAIRES SUD-OUEST ENTREPRISES;2497000;CENTRE D'AFFAIRES SUD-OUEST ENTREPRISES;2497000;CENTRE D'AFFAIRES SUD-OUEST ENTREPRISES;2497000;8 CHEMIN DE LA TERRASSE 31400 TOULOUSE;cs;OUI
472653;M.;nom_118;Prenom_118;CHARGE D'AFFAIRES ENTREPRISE NAE;05 55 18 83 11;nom_118.Prenom_118@bnpparibas.com;0;13128055;100171;REGION OCCITANIE;8058000;CENTRE D'AFFAIRES SUD-OUEST ENTREPRISES;2497000;CENTRE D'AFFAIRES SUD-OUEST ENTREPRISES;2497000;CENTRE D'AFFAIRES SUD-OUEST ENTREPRISES;2497000;23 BOULEVARD DU GENERAL KOENIG 19106 BRIVE LA GAILLARDE CEDEX;cs;OUI
